,Theta12v,Theta13v,Theta23v,theta12,theta23,theta13,deltaCP,sdeltam21,sdeltam32,s12q,s13q,s23q,DqCP,a13R,a23R,a12R
0,0.0,0.0,0.0,32.815941017743185,41.310913026279714,8.925277654260483,319.93028410247075,6.914474305364973e-05,0.0025567060063824,0.2260321336567123,0.0035590797470168,0.0402496772859731,1.1427782216511624,0.1790998117060967,-0.7929778892231908,1.3007187580695028
1,0.0,0.0,0.0,32.25268161627483,42.31102363944317,8.500540944266916,191.4900146578109,7.117528842463847e-05,0.0025029590004227,0.2273347895508593,0.0036215454385958,0.0409999225371993,1.1931566184866975,2.6569669693822737,4.214171606671093,1.7405399035478024
2,0.0,0.0,0.0,32.67153971510669,43.45428769025097,8.749847859673848,324.6716908766163,7.548039636259566e-05,0.0025856684568246,0.2262149613416616,0.003627106868033,0.0414083149294083,1.1555249070733264,2.571029910621355,3.45935341932805,1.985541564057112
3,0.0,0.0,0.0,32.25268161627483,42.31102363944317,8.500540944266916,191.4900146578109,7.117528842463847e-05,0.0025029590004227,0.2273347895508593,0.0036215454385958,0.0409999225371993,1.1931566184866975,2.6569669693822737,4.214171606671093,1.7405399035478024
4,0.0,0.0,0.0,35.084025914146544,44.93261040123173,8.61309757262633,226.37889907127143,7.324136606952315e-05,0.0025744290585025,0.2265520038444867,0.0037889429003826,0.0389263821612782,1.1534924735412166,-0.8683625508876035,1.153125833219763,1.4427375147060533
5,0.0,0.0,0.0,32.7494051294014,43.413788991971714,8.921130166484696,319.34139912126784,6.935140426815398e-05,0.00250412394913,0.2274424063974348,0.0036337126658395,0.0392180846661431,1.256959210364407,-0.8804163219775558,1.2636132112191842,1.4674249889575302
6,0.0,0.0,0.0,34.11114889124455,41.096163392657104,8.932866529033916,276.1959179242709,7.085166280599251e-05,0.0025066438798804,0.2258298049424482,0.0034724423109564,0.0395804338537147,1.1566770888412616,-0.7584145499405496,1.145865430849759,1.4545722615867098
7,0.0,0.0,0.0,33.845619458998826,42.1581410873587,8.334335920879077,290.50890745557604,6.934563190057697e-05,0.002590115162559,0.2268713751812695,0.0035958724984729,0.0390832986156347,1.1285619961582438,-0.8376893697716445,1.063292927549394,1.370357763384244
8,0.0,0.0,0.0,33.746788789366605,42.84017267487264,8.427569762745097,191.64041286930112,7.010046265793365e-05,0.0025582943008547,0.2265573645411015,0.0035628101836311,0.0406801356037402,1.1325072967295513,2.894304569790185,3.93383023365784,1.6902587564825944
9,0.0,0.0,0.0,31.68684212373328,43.49342843441664,8.784970476435651,258.39307760848067,7.361132803865334e-05,0.0025045580701196,0.2271104988518592,0.0036313772628155,0.0390856415708473,1.189584812205864,2.787966830179587,3.8373630618021233,1.7131780411002342
10,0.0,0.0,0.0,32.54772787076535,42.61098886874629,8.800345262790989,186.66158011662307,7.701677154139437e-05,0.0025534900938885,0.2259077654162749,0.0037775552986206,0.0417296714254518,1.1583534920916778,-3.5681359275165785,-2.532170469091501,1.701563838292809
11,0.0,0.0,0.0,31.50618098290204,42.80492682098762,8.744103909536596,277.3101187127991,7.515240644370083e-05,0.0025527169330943,0.2264293217490901,0.0036721240548316,0.0389251205909782,1.233458769974812,0.200660899653,-0.8481745886535259,1.2500852510660132
12,0.0,0.0,0.0,32.77423152778986,43.76107935890035,8.954099423284424,282.9757508319855,7.883835984105831e-05,0.0025909662480042,0.2265088792958526,0.0036781043637559,0.0402632477193118,1.2516976684742784,2.490717406949885,-1.901558935408732,1.4567880482140383
13,0.0,0.0,0.0,35.5382453680982,44.8288025992011,8.384715397760043,299.1704209135921,6.846707353133172e-05,0.0025518672998832,0.2273014258133343,0.0033920701884673,0.0394314823487375,1.2141663662465472,-0.8212938440887021,1.2453881308766823,1.3480119066238816
14,0.0,0.0,0.0,34.68139506426164,43.76844355874894,8.863761374395569,273.19955792407893,7.033016248306654e-05,0.0025412521448746,0.2267988326925454,0.0037627041735083,0.0414727672992109,1.1625951005562971,2.7053928447582583,4.031775307108498,1.7273868581205407
15,0.0,0.0,0.0,32.504050880375125,41.1048894735676,8.656575207772399,173.55277436251518,7.791059012886047e-05,0.0025106587125691,0.2258739624695183,0.0037627058248468,0.0394410232520848,1.1392156049940592,3.374442241499305,-3.447066774643687,-1.9815984251559209
16,0.0,0.0,0.0,31.39851364356198,41.404190560827296,8.296360294716225,334.2999252493889,7.806118417440497e-05,0.0025458397025076,0.2270719800611733,0.0036008268781463,0.0406147401244047,1.2029534451828523,2.708479509689464,4.006567244451548,1.5643082078039527
17,0.0,0.0,0.0,35.32983391765985,45.300054055686296,8.320500214913743,276.0951997009315,7.687749969091014e-05,0.0025770000907559,0.2265298123480915,0.0036477744643634,0.0397688042409603,1.2016376437986895,-0.9144351629703686,1.2527315969460848,1.425317581452266
18,0.0,0.0,0.0,32.25268161627483,42.31102363944317,8.500540944266916,191.4900146578109,7.117528842463847e-05,0.0025029590004227,0.2273347895508593,0.0036215454385958,0.0409999225371993,1.1931566184866975,2.6569669693822737,4.214171606671093,1.7405399035478024
19,0.0,0.0,0.0,34.49276974132186,40.62656416509467,8.634295096935286,302.8532445901932,6.96787791010261e-05,0.0025529479760084,0.2271115308130697,0.0037721238444105,0.0413929956873305,1.1441450367715251,-0.9266339860013484,1.1620614307549568,1.3422618432677949
20,0.0,0.0,0.0,35.02351224513188,43.02872076792519,8.688739989035364,187.8110756519277,7.236432473100427e-05,0.0025173730829011,0.2268489915323189,0.0034898864469733,0.0411593183355819,1.1558689901707653,2.8549956176847733,-1.867423355707568,1.5018505175532455
